date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,psTTM,pcfNcfTTM,pbMRQ,isST
2017-03-06,sz.002851,16.0600,17.5200,16.0600,17.5200,12.1700,9661,168530.0000,3,0.021710,1,43.960560,28.390165,2.697779,84.519315,4.516919,0
2017-03-07,sz.002851,19.2700,19.2700,19.2700,19.2700,17.5200,2900,55883.0000,3,0.006517,1,9.988585,31.225940,2.967249,92.961598,4.968096,0
2017-03-08,sz.002851,21.2000,21.2000,21.2000,21.2000,19.2700,6230,132076.0000,3,0.014000,1,10.015570,34.353396,3.264436,102.272230,5.465679,0
2017-03-09,sz.002851,23.3200,23.3200,23.3200,23.3200,21.2000,10130,236231.0000,3,0.022764,1,9.999995,37.788735,3.590879,112.499453,6.012247,0
2017-03-10,sz.002851,25.6500,25.6500,25.6500,25.6500,23.3200,9330,239314.0000,3,0.020966,1,9.991424,41.564368,3.949659,123.739750,6.612956,0
2017-03-13,sz.002851,28.2200,28.2200,28.2200,28.2200,25.6500,16268,459082.0000,3,0.036557,1,10.019490,45.728907,4.345395,136.137846,7.275540,0
2017-03-14,sz.002851,31.0400,31.0400,31.0400,31.0400,28.2200,12798,397249.0000,3,0.028760,1,9.992919,50.298557,4.779626,149.741982,8.002579,0
2017-03-15,sz.002851,34.1400,34.1400,34.1400,34.1400,31.0400,23163,790784.0000,3,0.052052,1,9.987108,55.321931,5.256973,164.696884,8.801805,0
2017-03-16,sz.002851,37.5500,37.5500,37.5500,37.5500,34.1400,29619,1112193.0000,3,0.066560,1,9.988283,60.847642,5.782054,181.147275,9.680955,0
2017-03-17,sz.002851,41.3100,41.3100,41.3100,41.3100,37.5500,42315,1748032.0000,3,0.095090,1,10.013320,66.940509,6.361030,199.286124,10.650339,0
2017-03-20,sz.002851,45.4400,45.4400,45.4400,45.4400,41.3100,89294,4057519.0000,3,0.200661,1,9.997572,73.632939,6.996979,219.209912,11.715115,0
2017-03-21,sz.002851,49.9800,49.9800,49.9800,49.9800,45.4400,228746,11432725.0000,3,0.514036,1,9.991199,80.989751,7.696061,241.111606,12.885595,0
2017-03-22,sz.002851,54.9800,54.9800,54.9800,54.9800,49.9800,225671,12407391.0000,3,0.507126,1,10.004000,89.091967,8.465975,265.232415,14.174671,0
